Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000005399	3513.21	2986.94	3413.09	2843.84	3558.96	4574.11	2771.95	4568.39	3719.66	4246.53	2865.48	2385.37
LL0000005400	3	6	1.04	1	1	0	1	3	1	1	5	0
LL0000005401	11	15.28	11	10.15	18.1	40	5	19	10.2	27	10.03	23
LL0000005402	103	138.85	126.24	104.76	106	174.21	62.09	134	135.06	184.01	152.54	95
LL0000005403	320.66	369.76	299.69	196.46	292.95	268.25	287.14	369.56	319	365.65	228.58	241.54
LL0000005404	432.05	347.06	469.94	139	256.42	183	347	426	325	239.07	100.26	124.96
LL0000005405	67.85	74.72	51.02	26	43.92	94	29	67.26	61.88	127.53	110	75
LL0000005406	709.88	794.37	685.98	844	1177.38	1601.91	509.94	947.63	765.69	990.49	780.32	727.06
LL0000005407	1058.99	946.8	836.51	1080.86	1807.05	2628.03	570.48	1027.94	873.69	1278.4	1024.08	973.93
LL0000005408	440.81	454.25	404.38	404.19	634.98	1013	261.7	484.18	452.14	684.09	503.64	415.45
LL0000005409	644.98	596.53	664.5	617.85	880.32	1161.65	417.25	709.93	593.89	947.88	592.05	523.22
LL0000005410	1067.01	981.96	1073.15	795.74	983.71	1403.78	686.53	1242.81	1203.83	1292.11	921.35	749.35
LL0000005411	1000.57	1369.77	1306.78	479.37	685.49	697.22	924.09	1144.67	936.94	752	392.13	456.22
LL0000005412	0	6	6	7.12	3.17	8.43	1	6	0	10.07	3.54	10.24
LL0000005413	2	5	2	9.78	35.83	69.57	1	7	2	33.93	12.46	25.63
LL0000005414	62.61	50.88	62	54	127.63	122.51	41	57	53	124.58	72.11	57
LL0000005415	1342.6	1235.11	1441.12	606.98	702.71	779.14	1087.09	1373.71	1288.68	1047.66	618.86	589.14
LL0000005416	1861.92	1905.88	2336.22	194.58	295.21	265.98	1643.54	1729.5	1484.05	456.56	186.53	140.04
LL0000005417	1202.83	1099.44	1167.04	273.89	496.49	718.11	1048.66	1506.48	1079.63	568.88	299.93	282.94
LL0000005418	388.16	380.88	407.77	141	274.05	396.96	317.94	420.96	376.67	240.32	222.49	146.52
LL0000005419	197	177.99	218.69	6.03	20	10	184.2	184.93	162	14.08	2	4.46
LL0000005420	44	60.89	70.97	3	1	5	53	56.01	41	8.07	2	2
LL0000005421	15	26.02	34.32	0	2	0	23	28.89	19.49	4	4	0
LL0000005422	910.58	1047.35	1008.43	116	175	114.04	868.79	1082.28	875.89	177.52	97	96
LL0000005423	965.55	1145.11	1194.28	139	199	224.14	981.31	1002.1	693.41	315.84	144.59	126.15
LL0000005424	3310.69	3651.58	3608.75	990.58	1566.11	1418.15	3354.8	3769.15	2845.12	1527.74	764.96	815.4
LL0000005425	393.75	421.48	441.21	147.01	149.99	124	483.05	432.27	303.78	159.02	83.07	75.98
LL0000005426	240.26	229.67	234.55	8	22	30.03	188.21	213.54	154.91	17	11	8
LL0000005427	1479.57	1389.4	1579.08	885.76	1126.99	1150.66	1170.76	1553.9	1252.79	1351.54	815.98	719
LL0000005428	9605.09	10316.01	10680.51	3222.58	3814.62	3301.09	9026.22	11702.63	9217.09	3768.95	2134.62	2141.51
LL0000005429	2091.24	2388.37	2235.74	471.95	461.3	405.9	1601.83	1842.81	1704.75	644.32	328.41	319
LL0000005430	204.45	180.76	244.61	94.98	139.52	212.45	108	183.07	210	212.09	186.92	131.72
LL0000005431	417.61	473	477.07	168.56	227.97	251	391	432.48	363.37	209.97	115	139
LL0000005432	387.8	363.77	380.07	388.8	601.02	758.06	279.99	434.98	500.1	652.66	441.18	412.75
LL0000005433	313.24	281.6	384.18	186.97	278.71	482.06	226	300.86	282	453.68	368.54	254.64
LL0000005434	192.94	188.86	224.92	141.89	238	305.4	146.68	190.84	163.82	282.42	237.55	155.86
LL0000005435	392.47	412.36	417.57	351.99	505.79	689.88	235	422.65	364.17	454.66	411.96	315.89
LL0000005436	185.75	244.07	213.11	87.79	128.01	138.52	107	229.96	201.32	136.74	118.71	81.8
LL0000005437	377.28	474.94	338.72	62.02	98.31	143.71	290.66	446.4	515.59	135.15	117.42	59.39
LL0000005438	163.01	193.12	183.02	90	136	169.87	140	197	181.05	173.84	126.98	111.34
LL0000005439	92.46	109.76	121.28	47.8	58.75	114.87	83.32	72.95	85.68	122.98	109.31	67.5
LL0000005440	99.39	80.72	79.26	117.27	148.5	227.51	45.43	76.98	104.36	253.69	256.66	140.62
LL0000005441	126.55	216.05	181.39	40.08	81.59	98.01	105.9	179.84	143.78	118.81	90.4	68
LL0000005442	182.87	182.85	255.76	168	261	415.99	167	168.75	148.14	299.03	277	159.01
LL0000005443	357.84	327.43	375.28	194.18	279.48	375.67	310.75	355.21	314.92	435.74	246.41	270.73
LL0000005444	261.66	274.93	274	7	27	13	210.48	292.98	273.01	29.02	13	7.01
LL0000005445	956.33	770.25	966.55	498.86	657.58	939.88	817.65	1234.95	908.56	779.28	406.09	381.25
LL0000005446	16	22.87	11	39	76.95	121	6.42	10	5	76.08	57.03	53.97
LL0000005447	122.74	136.55	122.96	40.06	57	64.99	96.98	170	134.61	72	59.04	51
LL0000005448	2233.14	2874.49	2660.91	1462.13	1657.09	1450.94	1897.73	2767.14	2016.32	1807.88	1263.41	1213.34
LL0000005449	920.74	951.91	971.91	463.49	726.42	1001.22	751.82	1168.26	946.88	988.55	650.11	543.02
LL0000005450	942.01	1012.33	893.39	500.01	673.99	810.65	899.98	1201.03	943.34	805.44	515.3	448.09
LL0000005451	408.12	362.47	382.99	120.68	136	180.54	264.57	393.44	369.95	189.95	113	97.73
LL0000005452	1126.08	1241.75	1275.12	286.64	458.98	448.34	1187.4	1554.64	1111.26	553	305.48	288.31
LL0000005453	65	66.16	76.01	21.06	28	30	53.14	65.46	50	28.01	12	13
LL0000005454	448.8	397.25	399.57	175.08	212.23	283.97	321.86	453.45	432.75	326.12	213.44	196
LL0000005455	68	123.35	68.01	33	36	26	75.5	80	56	49.99	24.76	35
LL0000005456	112.78	102.77	116.39	112	104.92	140	93	112.96	109	109.48	85	80.18
LL0000005457	538	589.29	567.37	52	89.01	62.99	392.98	511.92	534.31	124	88.97	61.01
LL0000005458	714.85	740.65	716.19	212.79	266.66	352.95	617.12	810.81	571.54	393.33	191.6	214.81
LL0000005459	1939.44	1899.19	2423.33	1160.37	1899.98	2876.49	1561.89	2270.31	1805.94	2050.49	1340.7	1195.51
LL0000005460	1270.18	1204.66	1270.62	601.28	808.06	672.65	1254.95	1605.45	1207.66	959.64	552.74	515.21
LL0000005461	103.01	85.23	97.91	145.78	233.99	263.26	59	87.69	105	336.55	190.75	181.46
LL0000005462	145	106.73	192.53	116.3	172	240.01	100	116.02	114	237	144.98	111.21
LL0000005463	759.78	906.51	841.16	354.98	482	729.6	547.07	890.92	835.74	610.55	368.47	340
LL0000005464	233.83	275.68	335.87	169	332.01	488.9	169.03	309	288.01	394.54	263.53	254
LL0000005465	383.08	394.42	437.66	214.14	326	578.65	267.58	340.94	440.21	475.93	408.84	323.18
LL0000005466	463.78	404.01	524.71	185.58	286	450.97	405.99	545.5	488.93	340.62	211.41	190.05
LL0000005467	119.8	142.04	200.99	62.77	86.13	134.14	116.35	127	106	137	74	76.06
LL0000005468	300.29	338.63	365.54	194	300.65	338.46	198.31	372.46	278.35	311.12	195.69	149.81
LL0000005469	203.69	295.77	263.38	129.84	231.32	306.14	193.11	272.02	272	264.62	224.32	149.05
LL0000005470	128.31	129.81	138	68	86.05	111	123.99	143.06	138	106	70	68.02
LL0000005471	125.98	144.52	148.72	84.87	126.93	142.31	141.02	116.85	123.99	120.1	81.03	79.12
LL0000005472	394.97	405.94	336.9	268.01	348.83	496.05	278.88	432.07	379.72	456.24	289	296
LL0000005473	526	490.97	514.66	206.03	392	551.44	457.85	538.51	480.43	451.65	349.39	320.16
LL0000005474	410.77	358.99	372.98	74.9	98	106.34	305.25	484.03	402.45	145	58.72	98
LL0000005475	222.01	252.52	261.04	139.01	166.31	232.84	186.04	268.91	231.63	217.78	141.47	125.61
LL0000005476	1204.75	918.16	907.71	903.96	1720.67	2494.64	853.46	1360.19	1120.7	1651.24	1102.2	1017.23
LL0000005477	11.65	12	7.18	12	10	18	5	6.01	8	22.93	17.71	18
LL0000005478	160.28	120.93	127.2	123.94	217.87	386.56	157.82	160.28	128	290.23	192.43	141
LL0000005479	1022.48	1149.38	993.4	712.1	1051.05	1111.62	873.99	1241.27	987.54	839.76	621.42	581.64
LL0000005480	151.12	123	173.7	57.45	51.27	93.97	107	103.36	134	107.97	45	53.9
LL0000005481	55.39	48.99	59.59	1	12.76	9.33	33.18	56.51	42.47	6	3	3.01
LL0000005482	139	124.37	155.79	37.99	32	73	89.24	85.3	92	101.95	38.92	46.85
LL0000005483	110.04	134	136	85.41	50.23	60.27	96.2	118	92.3	83.37	60.19	60
LL0000005484	957.52	1211.97	1144.85	703.21	807.94	873.75	748	1188.11	960.86	1044.57	683.72	621.88
LL0000005485	29.01	29.02	24	6	7.55	7	24	28.91	24	10	4	2
LL0000005486	70.36	88.74	82.41	21.98	41.91	60.83	49.99	55.11	63.51	57.75	36.32	38.12
LL0000005487	27.98	35	43	20	40.99	65.98	21	35.99	21	48	23	22
LL0000005488	58	63	86.3	28.06	39.07	49.97	67	85	51.99	73.08	34.84	28.03
LL0000005489	558.8	527.54	692.08	148.72	179.02	276.18	441.29	659.81	567.51	304.74	203.96	203.06
LL0000005490	67.21	80	67.85	36	37	56.76	63.97	71.88	55.51	47.84	19	28
LL0000005491	5273.37	4877.9	5401.38	4067.4	6761.97	8408.73	3095.67	4659.45	4420.26	5822.13	3967.14	3696.46
LL0000005492	745.47	651.58	789.43	658.96	986.89	1147.33	394.64	630.78	546.88	848.27	538.67	519.58
LL0000005493	40	52.5	41.99	18.13	25.97	45.03	27	33	39.03	78.01	27.49	18
LL0000005494	257.94	247.98	265.7	155.07	257.58	381.97	271.73	309.85	283.86	365.03	290.87	202.78
LL0000005495	313.46	375.14	402.99	186.01	319.32	478.91	189.93	310	300.95	436.02	296.01	194.96
LL0000005496	161.02	189.28	207.9	114.26	229.07	298.96	99.98	137.6	117.56	207.28	107.73	96.93
LL0000005497	50	82.37	54.59	14	21	37.17	46	48.01	37	33	24	25.21
LL0000005498	23.22	30.09	23.12	26.84	16.58	22.5	33.86	39.51	36.32	37.92	13.73	15.33
LL0000005499	57.03	52.04	57	8.94	17.18	21.33	41	58	45	27	29	7.72
LL0000005500	12	22	22	7	6	11	7.25	18	18.14	8	7	2
LL0000005501	385.64	474.03	495.98	254.15	406.06	426.17	253	451.02	390	430.96	329.36	253
LL0000005502	25	29.94	25	24	33.02	38.88	18	44	13.12	53	17	18
LL0000005503	226.01	212.16	237	268.65	366	534.66	161.66	282	189.99	399.55	315.17	302.72
LL0000005504	25.15	23.37	50.51	6.98	5.71	11	25.46	27.65	24.07	5.51	6.59	6
LL0000005505	31.48	24	21.02	17	23	29	31	15	28	10	28.18	20
LL0000005506	1025.33	1311.98	959.86	821.38	1480.96	1921.56	602.01	1222.23	1128.5	1555.84	1000.51	850.94
LL0000005507	92	117.94	120.16	119.27	203	362.63	70	109.01	97.53	221.69	128.03	112
LL0000005508	65.66	71.56	93.44	28.09	58.92	85.58	61.8	74.66	62.8	85.06	52.53	54.07
LL0000005509	135	154.16	129.97	37.48	55	75.08	105.01	165.15	115.99	84.99	49.99	40
LL0000005510	87.62	106.77	114.51	21.9	31.28	53.57	60.15	92.2	91.33	48.94	44.42	19.22
LL0000005511	60	50	63	15	16	27	33	54	50	23.18	13	10
LL0000005512	55.45	76	53	38	68	68	37	58	69	54	36	32
LL0000005513	55.45	70	81.5	7	8	3	27.13	47	64	14.54	6	6
LL0000005514	60	76	52.14	1	3.01	8	15.08	50	46	12	5	2
LL0000005515	95.34	113.95	107	34.45	38	70	84.49	111	94.5	62.86	30.8	21.74
LL0000005516	9.01	12	22	6	10	7	11.23	18	14.01	15	12	4
LL0000005517	13	18	9	12	27	33	4	14	15	55	23	27.68
LL0000005518	31	26.29	51	20	14	22	23	30	30	18	14	10.52
LL0000005519	150	170.97	200.12	187.05	251.07	368.53	103	205.09	140.99	295.66	222.46	147
LL0000005520	121.84	105.29	95.93	23.9	43.02	54.85	64.46	110.4	115.03	48.82	42.26	37.03
LL0000005521	580.48	518.07	554.07	352.27	517.87	471.41	280.82	402.1	395.77	488.69	268.49	236.81
LL0000005522	14	18	7	4	14	9	19	11	13	7	8	5
LL0000005523	224	188.15	267.29	232	267	500.97	150.36	253.94	232	370.01	342.35	240.99
LL0000005524	714.93	778.47	674.82	193.87	228.69	370.88	451.15	928.55	776.67	337.04	254.5	196.01
LL0000005525	1136.36	1171.42	1185.72	554.2	1147.06	1232.68	846.3	1127.21	1045.27	1513.96	864.12	698.99
LL0000005526	50.81	69.19	61.7	39.66	60.15	60.81	72.31	102.32	99.68	119.51	69.18	64.25
LL0000005527	151.99	137.99	139.69	81.43	73.47	113.79	58.94	80.19	73.29	110.65	42.37	47.59
LL0000005528	1	5	0	1	0	0	1	0	0	0	0	0
LL0000005529	2383.64	2708.53	2699.08	1808.45	2928.96	3313.8	1400.44	2182.73	2154.37	3009.03	2067.15	1870.34
LL0000005530	91.48	75.26	84.53	78.29	90.93	141.86	31.85	63.68	50.21	77.24	73.77	42.5
LL0000005531	3321.28	3622.69	3137.21	2425.03	4704.03	5377.1	1906.6	2993.46	3358.96	4273.75	2590.13	2253.92
LL0000005532	10258.76	10688.16	12165.83	7761.93	10816.71	11306.45	6851.67	10109.08	9443.68	10835.33	7349.89	6026.15
LL0000005533	5926.12	6386.65	6353.08	4485.69	6241.86	7316.56	3447.36	5996.71	5883.56	6513.24	5115.6	3882.82
LL0000005534	1185.68	1169.82	1228.52	790.51	1217.66	1286.03	1022.44	1293.87	1139.54	1278.2	704.68	653.71
LL0000005535	86.96	74.7	90	51	94.16	84	75	93	93.55	119.66	82.34	62
LL0000005536	54	35	34	32	57	116	30	36	39.87	70.72	54	51
LL0000005537	244.95	268.51	363.53	287.53	311.72	313.41	175.62	200.69	174.3	313.28	211.33	181.28
LL0000005538	51	59.98	56.97	11	20	17	32.88	65.01	45	21	3	6
LL0000005539	1.96	0	1	0	7.91	2.85	0	1	1	6.1	0	1
LL0000005540	4	6.22	1	3	5	14.29	2.04	1.02	5.08	12.72	6.12	5.08
LL0000005541	291.41	313.43	294.34	89.15	136.9	122.7	236.16	330.86	301.68	211.96	74.91	117.29
LL0000005542	457.11	532.23	515.58	148.38	194	229.86	440.78	599.58	490.05	238.86	155	182.01
LL0000005543	1642.6	1877.65	1643.76	383.63	437.81	448.13	1307.82	1945.81	1685.53	528.92	331.06	293.89
LL0000005544	162.86	175.26	171.22	164.05	177.83	145.02	108.78	167.35	147.48	122.85	81.28	89.33
LL0000005545	51	36	36.99	36	75	105	42	77	74	80.99	46.01	31
LL0000005546	8	6	9	23	21	36	3	10	5	34	16	19.04
LL0000005547	199.12	218.99	283.83	218.97	330	455	156.01	227.79	169	321.97	170	161.38
LL0000005548	3	9	8	0	2	4	6	0	2	4	2	2
LL0000005549	11.84	24	15	16	33.87	39.86	50.12	18.01	31.1	13	8	17.06
LL0000005550	193.7	181.5	257.86	83.89	124.7	155.68	154.42	176.29	133.25	225.36	109.52	97.94
LL0000005551	1650.56	1914.36	1645.08	1095.05	1760.87	2273.17	1151.07	2118.27	1695.19	1267.62	1104.47	913.2
LL0000005552	29	28	14	45.34	60.97	88	48	26	19	113.35	83.02	59
LL0000005553	273	244.02	195.42	89.98	150.15	100.24	220.29	364.09	356	130.42	109.22	81.79
LL0000005554	359.15	398.85	472.24	237.29	290.9	357.29	299.03	394.86	418.08	474.82	278.29	264.99
LL0000005555	24.74	29.53	21.42	28.71	14	36.08	14.24	25.48	24.61	32.12	10.44	18.42
LL0000005556	5239.05	5886.44	5193.5	3559.16	4388.86	5868	4374.58	7283.92	6241.92	4950.4	3317.61	3292.75
LL0000005557	1213	959.55	969.94	740.41	991.1	1192.33	854.18	1560.07	1124.4	1060.84	778.71	755.15
LL0000005558	74	72.04	91.04	6	11	21	40	78	62.74	24.99	8.06	11
LL0000005559	708.29	757.17	744.03	627.32	735.02	831.32	450.73	868.2	759.88	742.03	598.05	458.67
LL0000005560	772.94	731.28	900.68	823.68	812.07	1389.21	564.97	834.69	767.1	915.79	731.25	666.41
LL0000005561	1288.16	1098.67	1371.6	1458.37	1760.86	2680.55	926.91	1631.38	1319.8	1846.52	1472.84	1306.03
LL0000005562	752.75	866.99	885.07	401.48	597.04	610.11	587.7	903.6	805.99	530.21	390.61	335
LL0000005563	660.84	626.03	635.13	465.8	955.97	1621.46	470.54	626.02	668	1625.13	865.6	849.99
LL0000005564	802.04	542	638.41	858.58	1419.8	1896.44	441.14	985.75	770.4	1457.23	1149.17	1034.18
LL0000005565	32	26	42.05	36.24	45	70	17	25	29	62	50	39
LL0000005566	137.94	160	152.42	21	49	53	121.27	179.98	136	49	32	36
LL0000005567	637.55	536.75	557.84	653.37	818.77	1143.9	393.99	733.93	672.01	1023.94	759.55	605
LL0000005568	138.64	137.41	152.12	109	143.39	141.02	84	166	131.37	136.9	118.89	94.28
LL0000005569	2155.89	2186.89	2092.97	945.68	1228.84	1245.24	2136.5	2738.24	2253.5	1383.79	919.34	781.12
LL0000005570	450.86	445.13	552.15	187	284.12	340.92	338.62	476.19	422.13	420.76	238.03	227
LL0000005571	1888.76	2176.59	2006.5	506.89	804.97	724.7	1530.53	2081.87	1554.18	845.1	560.07	433.39
LL0000005572	24	23.26	17	3	9	7.11	16	32	23	11.01	18	14
LL0000005573	8165.63	7769.56	7162.35	3592.38	4875.03	4773.52	7983.84	10901.82	8507.98	5108.98	3186.31	2866.54
LL0000005574	9329.59	11112.93	9805.97	5673.65	8160.02	7980.51	8259.79	11316.75	8976.46	8898.74	5311.61	5085.61
LL0000005575	32.7	37.53	30	1	10	8	25.32	28.01	19.2	18.28	6	5
LL0000005576	456.89	560.98	496.95	213.74	184.07	175.95	397.76	497.72	334.19	238.89	109.41	172
LL0000005577	8162.16	10017.36	9063.34	3541.32	4821.91	4595.26	8510.9	10498.43	8233.17	5115.78	2625.91	2838.09
LL0000005578	1921.75	1935.84	2101.19	2302.87	2761.3	2500.39	1822.09	2464.9	1751.67	2867.47	1636.04	1810.43
LL0000005579	1625.04	1790.76	1773.4	363.3	600.27	580.45	1669.14	1855.86	1342.83	697.29	339.32	366.92
LL0000005580	761.57	704.12	874.29	525.25	637.27	644.86	551.62	715.66	599.94	826.95	524.67	457.48
LL0000005581	776.24	520.27	629.09	467.04	633.83	1048.39	469	712.45	680.31	859.63	734	575.03
LL0000005582	1064.98	1442.42	796.47	387.13	1035.76	993.76	642.2	1718.87	1236.42	853.36	718.51	589.59
LL0000005583	1901.35	1842.4	1813.68	1147.73	1647.28	1971.96	1693.54	2361.36	2125.31	1762.91	1092.77	962.16
LL0000005584	71	86.82	99.05	24.5	25.98	37.43	64	68	49.21	41	34	43
LL0000005585	420.44	510.23	527.16	204.62	215	308.77	396.56	515.96	445.42	335.21	216.15	224
LL0000005586	269.77	242.72	267.77	85	188.16	241.4	185.08	258.3	260	236.49	143.35	140
LL0000005587	85.72	63.31	60.97	18.22	30.3	41.01	32.31	55.41	57.23	44.57	25.26	35.05
LL0000005588	0	2	3	0	0	0	5	1	3	1	1	0
LL0000005589	1	6	9	2	0	3.45	2	7.8	4	3	0	0
LL0000005590	1	2	3	2	4	2.55	1	1.2	4	1	0	0
LL0000005591	1.26	2	4	2	4.93	3	0	1	2	2.33	0	3
LL0000005592	28	25.51	20.01	10	30.07	42	14	27	20	31.57	14	32
LL0000005593	99	95.11	126	70	92	220	41	89	67.16	132	117.98	105
LL0000005594	341.17	380	393.37	342.09	475.43	684.01	302.56	505.98	460.93	553.36	342.66	270.84
LL0000005595	447.87	557.87	573.36	284.02	368.99	284.7	350.52	418.69	348	450.32	283.36	301.46
LL0000005596	265.95	230	228.75	201	257.98	377.89	145.12	259.31	242.02	266.65	237.98	119
LL0000005597	142.87	295.37	327.99	65	120	147	98	101	116	86.61	69	67.85
LL0000005598	365	284.82	322.16	351.89	572.98	771.3	288.26	401	311.89	646.45	397.98	375.51
LL0000005599	478.76	622.34	541.8	54	89	56	439.92	596.96	460.97	180.42	83.41	86.97
LL0000005600	915.72	920.26	996.23	75.47	116.02	70.52	764.27	962.98	795.35	153.45	77	42
LL0000005601	466.93	552	476.08	99	137.87	128	325.82	510.97	416	122	111	77.6
LL0000005602	1694.6	1498.18	1708.26	1404.77	2065.55	2684.3	1131.61	1976.64	1597.5	2288.31	1553.28	1347.77
LL0000005603	1138.59	1115.42	1281.94	876.88	1171.07	1845.01	851.1	1263.5	1231.99	1201.23	932.77	788.47
LL0000005604	805.92	899.02	849.07	596.93	1021.06	1404.03	524.37	821.89	775.72	1230.8	840.6	641.09
LL0000005605	17.12	20.09	28.18	17	26	33.21	17	18.46	11.03	38.49	17.09	21
LL0000005606	651.47	730.36	729.11	386.38	608.42	815.09	454.02	630.32	680.73	864.97	498.71	385.01
LL0000005607	264.44	299.81	293.99	103.31	138.1	299.03	176.89	290	297	271.77	195	174
LL0000005608	346.64	366.64	344.42	233.46	325.93	507.68	218.68	387.64	290.29	453.69	271.9	213.07
LL0000005609	1054.98	1046.1	1216.31	834.74	1202.25	1771.29	725.05	1000.71	990.61	1640.21	1228.09	927.41
LL0000005610	207.67	272.79	260.99	98	192.98	213	133.28	236.29	240.97	156.03	107.58	85
LL0000005611	64.34	52.96	68	24.84	83	106.3	58	76	56	138	70	77.01
LL0000005612	1099.57	1212.14	1187.73	808.94	1323.47	1778.58	743.03	1080.61	971.08	1416.41	967.11	767.27
LL0000005613	0	1	0	0	1	0	0	0	0	0	1	0
LL0000005614	1379.75	1629.58	1366.21	1140.28	1450.4	1596.33	826.73	1557.57	1375.31	1467.18	1112.13	906
LL0000005615	712.09	530.99	560.99	366.45	579.75	813.94	397.1	757.1	611.15	591.47	399.14	431.87
LL0000005616	350.15	280.95	358.6	102	169.77	184.74	254.34	369.37	291.02	148.54	79	100
LL0000005617	18	27.04	24.18	3	8	2.97	11	21	11	14	5	3
LL0000005618	286	306.2	315.69	96.97	132	186	234.07	305.24	312	190.99	149.03	96
LL0000005619	260	199.89	222.25	356.08	289	416.98	247	314.04	302.96	506.77	340.9	313.38
LL0000005620	560.95	480.87	512.83	507.15	799.8	1123.37	347.96	539.79	560.92	915.94	741.37	557.49
LL0000005621	435.88	590.12	488.89	298.93	403.98	390.99	312.88	401.86	402	582.22	311.15	297.21
LL0000005622	86.03	131.74	139.24	49	95.01	99.92	54.88	68.95	88	90	71	39.97
LL0000005623	410.07	334.23	446.06	459.9	720.1	707.75	362	520.29	384.95	725.98	509.33	441.06
LL0000005624	138.98	149.96	219.23	201.49	212	212	137.2	164.45	125	252.12	165	143.56
LL0000005625	173.98	185.33	198	70	77	102.78	127.99	216	202	120.07	76	61
LL0000005626	1195.89	1200.72	1302.19	1000.02	1242.44	1235.42	874.16	1273.05	1080.74	1371.35	833.87	859.2
LL0000005627	442.91	470.7	552.39	319.06	462.4	812.18	265.19	532.37	446.99	720.8	591.48	485.46
LL0000005628	98.96	124.27	94.72	80	117.06	118.02	95.97	151.61	107.14	101.51	70.57	42.62
LL0000005629	5	3	1	1	3	14	1	7	3	8	3	0
LL0000005630	0.46	0	0	0	0	0	0	2	0	0	0	1
LL0000005631	0	0	3	1	10	4	0	2	0	1	5	6
LL0000005632	3	2	13.02	1	4	1	7	10	3	0	2	1
LL0000005633	10	8	4	5	3	6.03	10	4	10.99	3	6.31	4
LL0000005634	13	15.31	11	2	2	1	7	13	8	0	7	1
LL0000005635	0	0	0	0	0	0	0	0	0	0	0	0
LL0000005636	56.14	56	46	56.59	116	90.01	23	37	65	132.71	48.89	42
LL0000005637	28.43	33	14	13	35	48.45	4	21	17	34	30	21
LL0000005638	5	5	4	12	17	28	6.92	2	5	29	24	15
LL0000005639	1226.56	1091.87	1393.22	911.97	1600.59	2302.04	899.27	1171.12	1152.8	1800.82	1176.89	954.13
LL0000005640	1	0	1	1.62	0	0	0	0	0	2	0	1
LL0000005641	90	119	125.95	23	55.98	72	111.02	141.93	128.67	68	44	41
LL0000005642	54	42	45	10	9	12	35.99	50	37	25.01	8	8
LL0000005643	22.15	30	38	10.01	19.03	19	27.84	23.07	24	8.32	16	8.05
LL0000005644	0	0	0	0	0	0	0	0	0	0	0	0
LL0000005645	21	9	25	3	8	8	11	11	8	3	4	3
LL0000005646	127	105	150	88.01	112	192.98	125	144	121	128.1	87	46
LL0000005647	9	15	21.17	4	4	10	7	15	16	12	6	5.01
LL0000005648	2	7	3	0	10	2	2	2.82	6	1	4	2
LL0000005649	11	8	5	8	6	15	2	3	5	14.08	14	7
LL0000005650	317.52	374.39	410.21	142.02	192.47	180	308.89	323.29	258.98	244.99	162.9	119.62
LL0000005651	3	9	0	1	0	1.62	2	2	7.7	0	1	2
LL0000005652	20.24	35.83	21.99	14	17.04	14.12	17	17.78	14.05	31	14	14
LL0000005653	78.98	108.39	71.03	28.98	55.65	78.99	91.45	77.99	63	97	35.15	32.99
LL0000005654	15	7	2	2	7	12.47	11	6	10	11.84	5.03	5
LL0000005655	147	141.54	125.17	87	103.01	207	111	165	151	151.59	91	97
LL0000005656	4	2	1	1	0	4.85	4.65	2	0	5.14	1	0
LL0000005657	92	92.01	82	26	47	59	88.23	101.34	66.2	45	26.27	29
LL0000005658	699.31	677.58	765.91	495.42	607.93	864.28	506.02	769.54	706.11	809.24	576.82	514.87
LL0000005659	566.09	507.48	583.03	296.15	569.5	723.96	470.36	572.98	474.09	625.82	315.99	331.73
LL0000005660	354.77	415.91	342.69	151.98	140	300	177.83	348.93	343.96	242.02	164	135.58
LL0000005661	27	25.12	14	48.98	60	74	20.13	21.9	26.06	51.06	38	27
LL0000005662	110	113.71	142	108	173	217.84	112	131.24	100	208	97.06	117
LL0000005663	210.12	185	244.43	117.92	215	364.8	162.47	190.82	232	314.34	216.01	198.41
LL0000005664	544	525.03	631.13	189	240	256.12	495.54	655.64	586.97	344.82	169	134.99
LL0000005665	86.39	116.09	143.02	149.24	253.39	298.19	103.68	73	81.12	290	179.05	161.74
LL0000005666	9	12.87	8	9	14	11	5	27	4	30	25	9
LL0000005667	288.82	318.29	311.83	140.8	154.72	282.18	233.89	311.22	269.48	233.78	171.25	124.83
LL0000005668	279.32	272.72	246.66	276.45	417.34	572.48	208.07	256.49	277.15	462.97	345.37	294.61
LL0000005669	31	28	34	18	14.1	30	32.06	38	39	28	24	12
LL0000005670	595.15	606.04	693.05	902.43	1313.09	1631.53	440.4	663.99	604.09	1193.96	865.49	794.22
LL0000005671	23	28	45	40	46.03	65	23	41	22	43.91	31	39.99
LL0000005672	68.16	76.99	88.92	97	142	216.01	68	61.64	52.97	233.04	139.98	149.26
LL0000005673	59.05	68	55.38	100.93	114.81	150.57	54.08	99.01	70.18	121.79	74	77.77
LL0000005674	72	105.31	101.01	183.93	225.97	253	90	100	87	268.38	162.13	158.91
LL0000005675	234	245.16	246.06	221.64	379.02	365.04	210.95	271.99	219.45	334.93	217.93	221.98
LL0000005678	497.01	541.08	482.7	46.65	72	49	541.78	790.58	635.86	107.98	64	70
LL0000005679	282.53	213.92	237.98	118.69	156.9	230.97	159.93	187.08	196.52	228.2	147.1	138.94
LL0000005680	674.76	555.74	702.7	380.59	561.02	680.75	604.32	859.96	715.44	745.14	514.04	537.29
LL0000005681	224.06	229.94	273.17	183.61	204.14	285.41	121	254	194.01	223.95	155	134.03
