Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000000001	505	516.99	602.64	162.01	182.39	174.99	348.27	555.01	534.46	243.91	149.97	148.66
LL0000000002	5243.05	5286	5653.72	4798.11	6164.8	5542.82	3263.39	4485.54	3902.81	5915.65	3357.9	3018.57
LL0000000003	1100.03	968.35	1106.96	1381.79	1925.78	2603.66	855.84	1463.6	1088.13	1748.19	1177.94	1109.62
LL0000000004	261.2	261.4	255.45	80.87	105.62	105	227.06	226.3	225.04	195.74	137.48	113.05
LL0000000005	57	58.33	54.99	55.68	63	63.06	38	41	39	61	34.57	34.01
LL0000000006	8.66	10.52	4.28	2.12	10.38	13.92	4	3	1	8.5	7.51	6.12
LL0000000007	185	144.06	192.23	138.27	177.76	247.8	176.01	127.88	148	194.86	79	151.83
LL0000000008	513.17	506.36	493.99	528.11	700.56	950.6	347.99	598.22	509	965.77	664.64	506.36
LL0000000009	166.93	206.04	214.94	50	61.38	89.04	143.3	209	164	72.15	39	38.01
LL0000000010	147.39	124	175.75	60	86.73	83	180.84	213	150	95	61.04	73.94
LL0000000011	23.41	22.96	17.93	8	31.17	20.06	18.21	28.59	16.39	32.63	7.4	20.37
LL0000000012	2713.39	2373.75	2368.91	3134.99	4080.02	4678.71	1932.31	3727.96	2891.39	3832.17	2639.64	2524.27
LL0000000013	15	6	3	8	22	26	3	11	3	11.05	8	15.78
LL0000000014	8	22	9	30.79	33	58	12	11	11	51	16.98	23
LL0000000015	531.01	532.66	531.9	631.8	858.08	1145.96	384	680.58	527.51	855.13	563.37	487.05
LL0000000016	6118.82	6262.87	6140.64	3433.78	3850.16	3780.52	4374.24	6774.48	5706.72	3601.43	2723.17	2344.94
LL0000000017	269.79	230.09	236	171.51	244.14	292.4	197.09	323.07	236.06	259.47	182.1	143.06
LL0000000018	680.73	543.34	616	301.91	343	435	494.18	675.93	582	454.4	315	275
LL0000000019	171	166.67	192.22	29	54	55.1	151	145.51	164	64.25	38	33.93
LL0000000020	75.14	81.99	93.03	47	44	69	75	99	64	59.85	40.99	36
LL0000000021	375.04	290.01	389.65	128.7	198	175.53	366	310.12	293.79	261.06	110.98	118.3
