"symbol"	"wt_DMSO_1"	"wt_DMSO_2"	"wt_DMSO_3"	"wt_CPT_1"	"wt_CPT_2"	"wt_CPT_3"	"miR34a_del_DMSO_1"	"miR34a_del_DMSO_2"	"miR34a_del_DMSO_3"	"miR34a_del_CPT_1"	"miR34a_del_CPT_2"	"miR34a_del_CPT_3"
"LL0000000001"	"a1cf"	505	516.99	602.64	162.01	182.39	174.99	348.27	555.01	534.46	243.91	149.97	148.66
"LL0000000002"	"a2ml"	5243.05	5286	5653.72	4798.11	6164.8	5542.82	3263.39	4485.54	3902.81	5915.65	3357.9	3018.57
"LL0000000003"	"aaas"	1100.03	968.35	1106.96	1381.79	1925.78	2603.66	855.84	1463.6	1088.13	1748.19	1177.94	1109.62
"LL0000000004"	"aacs"	261.2	261.4	255.45	80.87	105.62	105	227.06	226.3	225.04	195.74	137.48	113.05
"LL0000000005"	"aadac"	57	58.33	54.99	55.68	63	63.06	38	41	39	61	34.57	34.01
"LL0000000006"	"aadacl4"	8.66	10.52	4.28	2.12	10.38	13.92	4	3	1	8.5	7.51	6.12
"LL0000000007"	"aadat"	185	144.06	192.23	138.27	177.76	247.8	176.01	127.88	148	194.86	79	151.83
"LL0000000008"	"aagab"	513.17	506.36	493.99	528.11	700.56	950.6	347.99	598.22	509	965.77	664.64	506.36
"LL0000000009"	"aak1a"	166.93	206.04	214.94	50	61.38	89.04	143.3	209	164	72.15	39	38.01
"LL0000000010"	"aak1b"	147.39	124	175.75	60	86.73	83	180.84	213	150	95	61.04	73.94
"LL0000000011"	"aamdc"	23.41	22.96	17.93	8	31.17	20.06	18.21	28.59	16.39	32.63	7.4	20.37
"LL0000000012"	"aamp"	2713.39	2373.75	2368.91	3134.99	4080.02	4678.71	1932.31	3727.96	2891.39	3832.17	2639.64	2524.27
"LL0000000013"	"aanat1"	15	6	3	8	22	26	3	11	3	11.05	8	15.78
"LL0000000014"	"aanat2"	8	22	9	30.79	33	58	12	11	11	51	16.98	23
"LL0000000015"	"aar2"	531.01	532.66	531.9	631.8	858.08	1145.96	384	680.58	527.51	855.13	563.37	487.05
"LL0000000016"	"aars"	6118.82	6262.87	6140.64	3433.78	3850.16	3780.52	4374.24	6774.48	5706.72	3601.43	2723.17	2344.94
"LL0000000017"	"aars2"	269.79	230.09	236	171.51	244.14	292.4	197.09	323.07	236.06	259.47	182.1	143.06
"LL0000000018"	"aarsd1"	680.73	543.34	616	301.91	343	435	494.18	675.93	582	454.4	315	275
"LL0000000019"	"aasdh"	171	166.67	192.22	29	54	55.1	151	145.51	164	64.25	38	33.93
"LL0000000020"	"aasdhppt"	75.14	81.99	93.03	47	44	69	75	99	64	59.85	40.99	36
"LL0000000021"	"aass"	375.04	290.01	389.65	128.7	198	175.53	366	310.12	293.79	261.06	110.98	118.3
"LL0000000022"	"aatf"	720.98	739.53	660.82	489.54	596.1	801.51	498.37	873.08	821.29	757.14	575.29	440.92
"LL0000000023"	"aatka"	190.37	215.99	219.04	44	78.45	112.96	133.99	177	151	137.99	65.04	77.57
"LL0000000024"	"aatkb"	130.9	151.5	153.13	34.49	47	51	146.07	185.46	107.74	55.94	32.04	30.84
"LL0000000025"	"abat"	458.86	569.38	555.18	247	253.13	271.46	385.24	465.32	341.6	331.34	192.82	171.28
"LL0000000026"	"abca12"	293.02	414.75	402.33	75.02	93	62	378.79	425.03	297.12	117.29	61.74	53
"LL0000000027"	"abca1a"	758.07	922.5	986.11	260.94	385.99	304.75	732.03	752.79	626.83	463.34	195	194.01
"LL0000000028"	"abca1b"	3784.43	4661.99	4757.74	1169.21	1636.85	982.17	2824.45	3695.76	2917.96	1628.78	776.11	769.79
"LL0000000029"	"abca2"	159	223.23	188.93	33.61	82.71	45	144.99	139	132.13	70	27.27	40.47
"LL0000000030"	"abca3b"	775.71	809.73	837.36	130.36	211.97	230	790.61	849.89	670.13	267.82	125.02	117
"LL0000000031"	"abca4a"	58.57	107.25	83.33	30.25	34.1	33	52.16	60.08	56.25	49.38	24	43.08
"LL0000000032"	"abca4b"	14	5	4.03	1	1	0	5	3	6	6	0	2
"LL0000000033"	"abca5"	328.01	354.27	376.6	117	132.94	107.01	241.08	366.56	259.79	143.85	107.06	115.03
"LL0000000034"	"abcb10"	403.11	335.54	341.24	299.71	428.5	551	280.16	327.61	344.75	438.35	309.29	262.8
"LL0000000035"	"abcb11a"	1078	1251.29	1243.09	195.99	322.21	362.53	593.98	1142.09	922.55	389.33	228.75	167.2
"LL0000000036"	"abcb11b"	3	2	3	1	2	5	3	0	1	7	2	1
"LL0000000037"	"abcb4"	21	23	13	5	8	9	19.01	24.41	19	6	11	3
"LL0000000038"	"abcb5"	863.61	681.92	656.42	473.13	636.19	758.76	676.01	903.48	754.17	788.82	414.5	398.53
"LL0000000039"	"abcb6a"	91	79.01	126.19	69	124.04	107	79.97	88.13	71.4	139	61.84	45.98
"LL0000000040"	"abcb6b"	95.95	101.95	136	30	40	37	94	116	125.04	77.05	42	47
"LL0000000041"	"abcb7"	1020.95	864.78	968.95	272	327.01	319.18	810.07	1441.38	980.07	331.76	285.47	181
"LL0000000042"	"abcb8"	258.5	263.39	276	202	298	443	184	352.16	252.19	331.03	260.78	208.89
"LL0000000043"	"abcb9"	88	98.98	97.02	48.01	90	148	72	96.83	62	115	74	69
"LL0000000044"	"abcc1"	341.06	300.74	321.32	274.11	361.93	428.25	332.57	363.66	346.97	486.61	312.74	317.06
"LL0000000045"	"abcc10"	432.13	484.11	431.78	175.6	219	251	358.01	533.4	461.94	298.79	200.14	147
"LL0000000046"	"abcc12"	26	33	38	13	13	17	12	32	38.06	15.98	6	12
"LL0000000047"	"abcc13"	102.16	77.87	100.3	47.25	103.43	129.53	95.17	116.31	108.39	131.61	100.89	72.52
"LL0000000048"	"abcc2"	1334.32	1408.86	1381.46	1267.08	1574.01	1695.66	921.66	1521.97	1155.67	1544.72	1093.64	921.64
"LL0000000049"	"abcc3"	628.62	580.73	682.54	165.88	234	225	529.24	709	604.01	310.54	165.86	141.76
"LL0000000050"	"abcc4"	692.04	643	661.13	225	280.13	355.83	544.36	778.71	653.27	419.98	254.01	192.42
"LL0000000051"	"abcc5"	1817.14	1777	2048.69	1700.01	2484.05	3815.51	1664.54	1863.88	1590.68	3228	2014.4	1967.1
"LL0000000052"	"abcc6a"	14	20	11	3	9	10	13	14	11.98	11.18	10.01	7
"LL0000000053"	"abcc6b.1"	22.11	13.56	20.02	7.49	12.88	19.17	16.12	31.47	10.72	21.97	15.31	10
"LL0000000054"	"abcc6b.2"	93.18	208.91	252.95	40.49	70.98	110.05	93.2	116.42	99.47	59.55	37.11	39.22
"LL0000000055"	"abcc8"	50	67.98	58	3	7	12	57.53	72	79.32	15.01	6.12	7
